t_s,bateria_pct,voltaje_v,roll,pitch,yaw,acc_x,acc_y,acc_z,vel_rpm,vel_real,estado
0.2,50,3.75,-2.0,3.0,6.0,-0.50,-0.40,-10.20,12.0,0,1
0.5,50,3.75,-1.0,2.0,-2.0,-0.30,-0.30,-9.80,20.0,0,6
0.9,50,3.75,-1.0,1.0,-3.0,0.00,-0.10,-10.00,16.0,0,4
1.2,50,3.75,1.0,2.0,0.0,0.30,-0.50,-10.00,16.0,0,4
1.5,50,3.75,-2.0,1.0,4.0,-0.40,-0.10,-10.30,16.0,0,4
1.8,50,3.75,-1.0,0.0,8.0,-0.20,-0.00,-9.80,16.0,0,4
2.1,50,3.75,-1.0,2.0,12.0,-0.10,-0.30,-9.80,16.0,0,4
2.4,50,3.75,-1.0,1.0,16.0,-0.00,-0.20,-10.40,16.0,0,4
2.7,50,3.75,0.0,1.0,20.0,-0.10,-0.10,-10.20,16.0,0,4
3.0,50,3.75,1.0,2.0,25.0,0.10,-0.20,-9.90,16.0,0,4
3.3,50,3.75,-1.0,0.0,29.0,-0.20,0.00,-9.80,20.0,0,6
3.6,50,3.75,-2.0,1.0,29.0,-0.30,-0.20,-10.00,20.0,0,6
4.0,50,3.75,-1.0,0.0,29.0,-0.10,-0.20,-9.70,20.0,0,6
4.3,50,3.75,-1.0,1.0,30.0,-0.10,-0.10,-9.80,20.0,0,6
4.6,50,3.75,-1.0,0.0,30.0,-0.00,-0.00,-9.60,20.0,0,6
4.9,50,3.75,-1.0,-1.0,30.0,-0.10,0.20,-9.30,20.0,0,6
5.2,50,3.75,-3.0,0.0,30.0,-0.30,0.10,-9.50,20.0,0,6
5.4,50,3.75,-1.0,0.0,30.0,-0.10,-0.00,-9.80,20.0,0,6
5.8,50,3.75,-1.0,0.0,30.0,-0.10,-0.00,-9.70,16.0,0,4
6.1,50,3.75,-2.0,0.0,34.0,-0.20,0.00,-9.80,20.0,0,6
6.3,50,3.75,-1.0,0.0,35.0,-0.30,-0.10,-9.50,20.0,0,6
6.7,50,3.75,0.0,0.0,35.0,-0.00,0.10,-9.70,20.0,0,6
7.1,50,3.75,-2.0,1.0,35.0,-0.30,-0.10,-9.80,16.0,0,2
7.4,50,3.75,-1.0,0.0,32.0,-0.20,-0.00,-9.60,10.0,0,0
7.7,50,3.75,-1.0,0.0,22.0,-0.10,-0.00,-9.60,10.0,0,0
8.0,50,3.75,-1.0,0.0,13.0,-0.20,0.00,-9.60,12.0,0,8
8.3,50,3.75,0.0,1.0,18.0,-0.00,-0.20,-9.80,12.0,0,8
8.5,50,3.75,1.0,2.0,26.0,0.20,-0.30,-10.10,12.0,0,8
8.9,50,3.75,-1.0,0.0,35.0,-0.10,-0.10,-9.80,16.0,0,4
9.1,50,3.75,-1.0,-1.0,38.0,-0.10,0.20,-9.50,20.0,0,6
9.4,50,3.75,1.0,-1.0,38.0,0.20,0.20,-9.40,20.0,0,6
9.8,50,3.75,0.0,0.0,39.0,-0.00,0.00,-9.80,20.0,0,6
10.1,50,3.75,-1.0,1.0,39.0,-0.00,-0.10,-9.90,20.0,0,6
10.5,50,3.75,0.0,0.0,39.0,0.10,0.10,-9.50,16.0,0,12
10.8,50,3.75,0.0,2.0,42.0,0.10,-0.40,-10.30,12.0,0,8
11.1,50,3.75,0.0,0.0,50.0,-0.10,0.10,-9.50,16.0,0,12
11.4,50,3.75,1.0,0.0,55.0,0.20,-0.10,-9.50,12.0,0,8
11.7,50,3.75,-1.0,-1.0,63.0,-0.00,0.20,-9.40,16.0,0,12
12.0,50,3.75,-1.0,0.0,66.0,-0.20,-0.00,-10.00,12.0,0,8
12.2,50,3.75,0.0,2.0,73.0,0.00,-0.50,-10.20,12.0,0,8
12.5,50,3.75,0.0,2.0,81.0,0.00,-0.40,-9.90,16.0,0,12
12.8,50,3.75,0.0,1.0,86.0,0.10,-0.20,-10.00,12.0,0,8
13.2,50,3.75,0.0,1.0,95.0,0.00,-0.20,-9.60,16.0,0,12
13.6,50,3.75,-1.0,0.0,100.0,-0.30,0.10,-9.60,12.0,0,8
13.9,50,3.75,-1.0,0.0,109.0,-0.20,-0.10,-9.50,16.0,0,12
14.2,50,3.75,0.0,1.0,113.0,0.10,-0.20,-9.80,16.0,0,4
14.5,50,3.75,-1.0,0.0,116.0,-0.20,0.00,-9.60,16.0,0,4
14.8,50,3.75,0.0,1.0,121.0,-0.00,-0.20,-9.80,16.0,0,4
15.1,50,3.75,-1.0,0.0,125.0,-0.10,-0.00,-9.20,20.0,0,6
15.4,50,3.75,0.0,0.0,125.0,-0.10,0.00,-9.70,20.0,0,6
15.7,50,3.75,-1.0,1.0,126.0,-0.30,-0.10,-9.60,16.0,0,4
16.0,50,3.75,-1.0,-1.0,129.0,-0.30,0.10,-9.40,16.0,0,12
16.3,50,3.75,-2.0,0.0,133.0,-0.30,0.10,-9.50,12.0,0,8
16.7,50,3.75,0.0,1.0,144.0,0.00,-0.10,-9.60,16.0,0,4
17.0,50,3.75,-1.0,0.0,148.0,-0.20,-0.10,-9.50,16.0,0,12
17.3,50,3.75,0.0,1.0,152.0,-0.20,-0.10,-10.30,12.0,0,8
17.6,50,3.75,1.0,1.0,161.0,0.20,0.00,-9.20,12.0,0,8
17.9,50,3.75,0.0,1.0,170.0,0.20,-0.20,-10.00,16.0,0,12
18.2,50,3.75,-1.0,1.0,173.0,-0.20,-0.10,-9.80,12.0,0,8
18.5,50,3.75,-2.0,0.0,-179.0,-0.40,0.10,-9.40,16.0,0,12
18.8,50,3.75,-1.0,-1.0,-175.0,-0.30,0.20,-9.50,12.0,0,8
19.1,50,3.75,-1.0,1.0,-167.0,-0.10,-0.30,-9.50,12.0,0,8
19.4,50,3.75,0.0,3.0,-158.0,0.00,-0.50,-9.90,16.0,0,4
19.8,50,3.75,0.0,2.0,-152.0,0.00,-0.40,-9.90,20.0,0,6
20.1,50,3.75,-1.0,0.0,-151.0,-0.20,0.10,-9.40,16.0,0,4
20.4,50,3.75,-2.0,-1.0,-148.0,-0.30,0.20,-8.90,16.0,0,4
20.7,50,3.75,-2.0,1.0,-143.0,-0.30,-0.20,-9.80,16.0,0,4
21.0,50,3.75,0.0,2.0,-139.0,-0.00,-0.40,-10.10,16.0,0,4
21.3,50,3.75,-2.0,-2.0,-135.0,-0.30,0.40,-9.20,16.0,0,12
21.6,50,3.75,-2.0,-1.0,-131.0,-0.40,0.10,-9.30,16.0,0,12
21.9,50,3.75,-3.0,0.0,-127.0,-0.40,0.10,-9.20,12.0,0,8
22.2,50,3.75,-2.0,2.0,-118.0,-0.30,-0.30,-9.60,12.0,0,8
22.6,50,3.75,0.0,1.0,-111.0,-0.10,-0.00,-9.90,16.0,0,4
23.0,50,3.75,-1.0,1.0,-104.0,-0.20,-0.10,-10.00,16.0,0,4
23.2,50,3.75,0.0,1.0,-101.0,-0.10,-0.10,-9.90,20.0,0,6
23.5,50,3.75,0.0,1.0,-100.0,-0.10,-0.10,-9.90,20.0,0,6
23.8,50,3.75,0.0,2.0,-100.0,0.00,-0.40,-10.20,16.0,0,2
24.1,50,3.75,-1.0,1.0,-103.0,-0.20,-0.20,-9.90,16.0,0,3
24.4,50,3.75,-1.0,0.0,-106.0,-0.10,0.10,-9.90,12.0,0,1
24.7,50,3.75,-1.0,1.0,-114.0,-0.20,-0.20,-9.90,12.0,0,1
25.0,50,3.75,-2.0,1.0,-122.0,-0.30,-0.20,-10.10,16.0,0,2
25.3,50,3.75,0.0,0.0,-126.0,0.10,0.20,-9.20,16.0,0,2
25.6,50,3.75,-2.0,0.0,-130.0,-0.30,-0.10,-10.10,20.0,0,6
26.0,50,3.75,-1.0,0.0,-131.0,-0.20,-0.00,-9.70,16.0,0,2
